gene,disease,question
TP53,Li-Fraumeni syndrome,Are you still seeing a doctor or health care provider for bone cancer?
TP53,Li-Fraumeni syndrome,About how old were you when you were first told you had bone cancer?
TP53,Li-Fraumeni syndrome,"Including yourself, who in your family has had bone cancer? Select all that apply."
TP53,Li-Fraumeni syndrome,Are you currently prescribed medications and/or receiving treatment for blood or soft tissue cancer?
TP53,Li-Fraumeni syndrome,About how old were you when you were first told you had blood or soft tissue cancer?
TP53,Li-Fraumeni syndrome,"Including yourself, who in your family has had blood or soft tissue cancer? Select all that apply."
BRCA1,"Fanconi anemia, complementation group S",Are you still seeing a doctor or health care provider for blood or soft tissue cancer?
BRCA1,"Fanconi anemia, complementation group S",Are you currently prescribed medications and/or receiving treatment for blood or soft tissue cancer?
BRCA1,"Fanconi anemia, complementation group S",About how old were you when you were first told you had blood or soft tissue cancer?
BRCA1,"Fanconi anemia, complementation group S","Including yourself, who in your family has had blood or soft tissue cancer? Select all that apply."
MYH11,familial thoracic aortic aneurysm and aortic dissection,About how old were you when you were first told you had aortic aneurysm?
MYH11,familial thoracic aortic aneurysm and aortic dissection,"Including yourself, who in your family has had aortic aneurysm? Select all that apply."
MYH11,familial thoracic aortic aneurysm and aortic dissection,Are you still seeing a doctor or health care provider for aortic aneurysm?
MYH11,familial thoracic aortic aneurysm and aortic dissection,Are you currently prescribed medications and/or receiving treatment for aortic aneurysm?
TGFBR1,familial thoracic aortic aneurysm and aortic dissection,About how old were you when you were first told you had aortic aneurysm?
TGFBR1,familial thoracic aortic aneurysm and aortic dissection,"Including yourself, who in your family has had aortic aneurysm? Select all that apply."
TGFBR1,familial thoracic aortic aneurysm and aortic dissection,Are you still seeing a doctor or health care provider for aortic aneurysm?
TGFBR1,familial thoracic aortic aneurysm and aortic dissection,Are you currently prescribed medications and/or receiving treatment for aortic aneurysm?
PALB2,Fanconi anemia complementation group N,Are you still seeing a doctor or health care provider for blood or soft tissue cancer?
PALB2,Fanconi anemia complementation group N,Are you currently prescribed medications and/or receiving treatment for blood or soft tissue cancer?
PALB2,Fanconi anemia complementation group N,About how old were you when you were first told you had blood or soft tissue cancer?
PALB2,Fanconi anemia complementation group N,"Including yourself, who in your family has had blood or soft tissue cancer? Select all that apply."
PMS2,mismatch repair cancer syndrome 1,"Including yourself, who in your family has had endometrial cancer? Select all that apply."
PMS2,mismatch repair cancer syndrome 1,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
PMS2,mismatch repair cancer syndrome 1,Are you currently prescribed medications and/or receiving treatment for endometrial cancer?
PMS2,mismatch repair cancer syndrome 1,Are you still seeing a doctor or health care provider for endometrial cancer?
PMS2,mismatch repair cancer syndrome 1,About how old were you when you were first told you had colon cancer/rectal cancer?
PMS2,mismatch repair cancer syndrome 1,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
PMS2,mismatch repair cancer syndrome 1,About how old were you when you were first told you had endometrial cancer?
PMS2,mismatch repair cancer syndrome 1,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
TGFBR1,Loeys-Dietz syndrome,About how old were you when you were first told you had aortic aneurysm?
TGFBR1,Loeys-Dietz syndrome,"Including yourself, who in your family has had aortic aneurysm? Select all that apply."
TGFBR1,Loeys-Dietz syndrome,Are you still seeing a doctor or health care provider for aortic aneurysm?
TGFBR1,Loeys-Dietz syndrome,Are you currently prescribed medications and/or receiving treatment for aortic aneurysm?
MLH1,mismatch repair cancer syndrome 1,"Including yourself, who in your family has had endometrial cancer? Select all that apply."
MLH1,mismatch repair cancer syndrome 1,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
MLH1,mismatch repair cancer syndrome 1,Are you currently prescribed medications and/or receiving treatment for endometrial cancer?
MLH1,mismatch repair cancer syndrome 1,Are you still seeing a doctor or health care provider for endometrial cancer?
MLH1,mismatch repair cancer syndrome 1,About how old were you when you were first told you had colon cancer/rectal cancer?
MLH1,mismatch repair cancer syndrome 1,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
MLH1,mismatch repair cancer syndrome 1,About how old were you when you were first told you had endometrial cancer?
MLH1,mismatch repair cancer syndrome 1,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
BMPR1A,juvenile polyposis syndrome,Are you currently prescribed medications and/or receiving treatment for colon polyps?
BMPR1A,juvenile polyposis syndrome,About how old were you when you were first told you had colon polyps?
BMPR1A,juvenile polyposis syndrome,"Including yourself, who in your family has had colon polyps? Select all that apply."
BMPR1A,juvenile polyposis syndrome,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
BMPR1A,juvenile polyposis syndrome,Are you still seeing a doctor or health care provider for colon polyps?
BMPR1A,juvenile polyposis syndrome,About how old were you when you were first told you had colon cancer/rectal cancer?
BMPR1A,juvenile polyposis syndrome,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
BMPR1A,juvenile polyposis syndrome,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
VHL,von Hippel-Lindau disease,Are you still seeing a doctor or health care provider for kidney cancer?
VHL,von Hippel-Lindau disease,Are you currently prescribed medications and/or receiving treatment for pancreatic cancer?
VHL,von Hippel-Lindau disease,About how old were you when you were first told you had pancreatic cancer?
VHL,von Hippel-Lindau disease,"Including yourself, who in your family has had pancreatic cancer? Select all that apply."
VHL,von Hippel-Lindau disease,About how old were you when you were first told you had kidney cancer?
VHL,von Hippel-Lindau disease,Are you still seeing a doctor or health care provider for pancreatic cancer?
VHL,von Hippel-Lindau disease,Are you currently prescribed medications and/or receiving treatment for kidney cancer?
VHL,von Hippel-Lindau disease,"Including yourself, who in your family has had kidney cancer? Select all that apply."
COL3A1,"Ehlers-Danlos syndrome, vascular type",About how old were you when you were first told you had aortic aneurysm?
COL3A1,"Ehlers-Danlos syndrome, vascular type","Including yourself, who in your family has had aortic aneurysm? Select all that apply."
COL3A1,"Ehlers-Danlos syndrome, vascular type",Are you still seeing a doctor or health care provider for aortic aneurysm?
COL3A1,"Ehlers-Danlos syndrome, vascular type",Are you currently prescribed medications and/or receiving treatment for aortic aneurysm?
SMAD3,aneurysm-osteoarthritis syndrome,About how old were you when you were first told you had aortic aneurysm?
SMAD3,aneurysm-osteoarthritis syndrome,"Including yourself, who in your family has had aortic aneurysm? Select all that apply."
SMAD3,aneurysm-osteoarthritis syndrome,Are you still seeing a doctor or health care provider for aortic aneurysm?
SMAD3,aneurysm-osteoarthritis syndrome,Are you currently prescribed medications and/or receiving treatment for aortic aneurysm?
FBN1,Marfan syndrome,About how old were you when you were first told you had aortic aneurysm?
FBN1,Marfan syndrome,"Including yourself, who in your family has had aortic aneurysm? Select all that apply."
FBN1,Marfan syndrome,Are you still seeing a doctor or health care provider for aortic aneurysm?
FBN1,Marfan syndrome,Are you currently prescribed medications and/or receiving treatment for aortic aneurysm?
BRCA1,BRCA1-related cancer predisposition,About how old were you when you were first told you had breast cancer?
BRCA1,BRCA1-related cancer predisposition,Are you currently prescribed medications and/or receiving treatment for ovarian cancer?
BRCA1,BRCA1-related cancer predisposition,"Including yourself, who in your family has had breast cancer? Select all that apply."
BRCA1,BRCA1-related cancer predisposition,"Including yourself, who in your family has had ovarian cancer? Select all that apply."
BRCA1,BRCA1-related cancer predisposition,Are you still seeing a doctor or health care provider for ovarian cancer?
BRCA1,BRCA1-related cancer predisposition,About how old were you when you were first told you had ovarian cancer?
BRCA1,BRCA1-related cancer predisposition,Are you currently prescribed medications and/or receiving treatment for breast cancer?
BRCA1,BRCA1-related cancer predisposition,Are you still seeing a doctor or health care provider for breast cancer?
RB1,retinoblastoma,"Including yourself, who in your family has had eye cancer? Select all that apply."
RB1,retinoblastoma,About how old were you when you were first told you had eye cancer?
RB1,retinoblastoma,Are you still seeing a doctor or health care provider for eye cancer?
RB1,retinoblastoma,Are you currently prescribed medications and/or receiving treatment for eye cancer?
MLH1,Lynch syndrome,"Including yourself, who in your family has had endometrial cancer? Select all that apply."
MLH1,Lynch syndrome,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
MLH1,Lynch syndrome,Are you currently prescribed medications and/or receiving treatment for endometrial cancer?
MLH1,Lynch syndrome,Are you still seeing a doctor or health care provider for endometrial cancer?
MLH1,Lynch syndrome,About how old were you when you were first told you had colon cancer/rectal cancer?
MLH1,Lynch syndrome,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
MLH1,Lynch syndrome,About how old were you when you were first told you had endometrial cancer?
MLH1,Lynch syndrome,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
RET,multiple endocrine neoplasia type 2B,"Including yourself, who in your family has had thyroid cancer? Select all that apply."
RET,multiple endocrine neoplasia type 2B,About how old were you when you were first told you had thyroid cancer?
RET,multiple endocrine neoplasia type 2B,Are you currently prescribed medications and/or receiving treatment for thyroid cancer?
RET,multiple endocrine neoplasia type 2B,Are you still seeing a doctor or health care provider for thyroid cancer?
MUTYH,familial adenomatous polyposis 2,Are you currently prescribed medications and/or receiving treatment for colon polyps?
MUTYH,familial adenomatous polyposis 2,About how old were you when you were first told you had colon polyps?
MUTYH,familial adenomatous polyposis 2,"Including yourself, who in your family has had colon polyps? Select all that apply."
MUTYH,familial adenomatous polyposis 2,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
MUTYH,familial adenomatous polyposis 2,Are you still seeing a doctor or health care provider for colon polyps?
MUTYH,familial adenomatous polyposis 2,About how old were you when you were first told you had colon cancer/rectal cancer?
MUTYH,familial adenomatous polyposis 2,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
MUTYH,familial adenomatous polyposis 2,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
CACNA1S,"malignant hyperthermia, susceptibility to, 5","Including yourself, who in your family has had reactions to anesthesia (such as hyperthermia)? Select all that apply."
CACNA1S,"malignant hyperthermia, susceptibility to, 5",About how old were you when you were first told you had reactions to anesthesia (such as hyperthermia)?
CACNA1S,"malignant hyperthermia, susceptibility to, 5",Are you currently prescribed medications and/or receiving treatment for reactions to anesthesia (such as hyperthermia)?
CACNA1S,"malignant hyperthermia, susceptibility to, 5",Are you still seeing a doctor or health care provider for reactions to anesthesia (such as hyperthermia)?
PALB2,PALB2-related cancer predisposition,About how old were you when you were first told you had breast cancer?
PALB2,PALB2-related cancer predisposition,Are you currently prescribed medications and/or receiving treatment for ovarian cancer?
PALB2,PALB2-related cancer predisposition,"Including yourself, who in your family has had breast cancer? Select all that apply."
PALB2,PALB2-related cancer predisposition,"Including yourself, who in your family has had ovarian cancer? Select all that apply."
PALB2,PALB2-related cancer predisposition,Are you still seeing a doctor or health care provider for ovarian cancer?
PALB2,PALB2-related cancer predisposition,About how old were you when you were first told you had ovarian cancer?
PALB2,PALB2-related cancer predisposition,Are you currently prescribed medications and/or receiving treatment for breast cancer?
PALB2,PALB2-related cancer predisposition,Are you still seeing a doctor or health care provider for breast cancer?
PMS2,Lynch syndrome,"Including yourself, who in your family has had endometrial cancer? Select all that apply."
PMS2,Lynch syndrome,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
PMS2,Lynch syndrome,Are you currently prescribed medications and/or receiving treatment for endometrial cancer?
PMS2,Lynch syndrome,Are you still seeing a doctor or health care provider for endometrial cancer?
PMS2,Lynch syndrome,About how old were you when you were first told you had colon cancer/rectal cancer?
PMS2,Lynch syndrome,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
PMS2,Lynch syndrome,About how old were you when you were first told you had endometrial cancer?
PMS2,Lynch syndrome,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
APC,classic or attenuated familial adenomatous polyposis,Are you currently prescribed medications and/or receiving treatment for colon polyps?
APC,classic or attenuated familial adenomatous polyposis,About how old were you when you were first told you had colon polyps?
APC,classic or attenuated familial adenomatous polyposis,"Including yourself, who in your family has had colon polyps? Select all that apply."
APC,classic or attenuated familial adenomatous polyposis,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
APC,classic or attenuated familial adenomatous polyposis,Are you still seeing a doctor or health care provider for colon polyps?
APC,classic or attenuated familial adenomatous polyposis,About how old were you when you were first told you had colon cancer/rectal cancer?
APC,classic or attenuated familial adenomatous polyposis,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
APC,classic or attenuated familial adenomatous polyposis,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
LDLR,"hypercholesterolemia, familial, 1","Including yourself, who in your family has had high cholesterol? Select all that apply."
LDLR,"hypercholesterolemia, familial, 1",Are you currently prescribed medications and/or receiving treatment for high cholesterol?
LDLR,"hypercholesterolemia, familial, 1",About how old were you when you were first told you had high cholesterol?
LDLR,"hypercholesterolemia, familial, 1",Are you still seeing a doctor or health care provider for high cholesterol?
BRCA2,Fanconi anemia complementation group D1,Are you still seeing a doctor or health care provider for blood or soft tissue cancer?
BRCA2,Fanconi anemia complementation group D1,Are you currently prescribed medications and/or receiving treatment for blood or soft tissue cancer?
BRCA2,Fanconi anemia complementation group D1,About how old were you when you were first told you had blood or soft tissue cancer?
BRCA2,Fanconi anemia complementation group D1,"Including yourself, who in your family has had blood or soft tissue cancer? Select all that apply."
MSH2,mismatch repair cancer syndrome 1,"Including yourself, who in your family has had endometrial cancer? Select all that apply."
MSH2,mismatch repair cancer syndrome 1,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
MSH2,mismatch repair cancer syndrome 1,Are you currently prescribed medications and/or receiving treatment for endometrial cancer?
MSH2,mismatch repair cancer syndrome 1,Are you still seeing a doctor or health care provider for endometrial cancer?
MSH2,mismatch repair cancer syndrome 1,About how old were you when you were first told you had colon cancer/rectal cancer?
MSH2,mismatch repair cancer syndrome 1,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
MSH2,mismatch repair cancer syndrome 1,About how old were you when you were first told you had endometrial cancer?
MSH2,mismatch repair cancer syndrome 1,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
TGFBR2,Loeys-Dietz syndrome 2,About how old were you when you were first told you had aortic aneurysm?
TGFBR2,Loeys-Dietz syndrome 2,"Including yourself, who in your family has had aortic aneurysm? Select all that apply."
TGFBR2,Loeys-Dietz syndrome 2,Are you still seeing a doctor or health care provider for aortic aneurysm?
TGFBR2,Loeys-Dietz syndrome 2,Are you currently prescribed medications and/or receiving treatment for aortic aneurysm?
MSH6,Lynch syndrome,"Including yourself, who in your family has had endometrial cancer? Select all that apply."
MSH6,Lynch syndrome,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
MSH6,Lynch syndrome,Are you currently prescribed medications and/or receiving treatment for endometrial cancer?
MSH6,Lynch syndrome,Are you still seeing a doctor or health care provider for endometrial cancer?
MSH6,Lynch syndrome,About how old were you when you were first told you had colon cancer/rectal cancer?
MSH6,Lynch syndrome,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
MSH6,Lynch syndrome,About how old were you when you were first told you had endometrial cancer?
MSH6,Lynch syndrome,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
SMAD3,familial thoracic aortic aneurysm and aortic dissection,About how old were you when you were first told you had aortic aneurysm?
SMAD3,familial thoracic aortic aneurysm and aortic dissection,"Including yourself, who in your family has had aortic aneurysm? Select all that apply."
SMAD3,familial thoracic aortic aneurysm and aortic dissection,Are you still seeing a doctor or health care provider for aortic aneurysm?
SMAD3,familial thoracic aortic aneurysm and aortic dissection,Are you currently prescribed medications and/or receiving treatment for aortic aneurysm?
RYR1,"malignant hyperthermia, susceptibility to, 1","Including yourself, who in your family has had reactions to anesthesia (such as hyperthermia)? Select all that apply."
RYR1,"malignant hyperthermia, susceptibility to, 1",About how old were you when you were first told you had reactions to anesthesia (such as hyperthermia)?
RYR1,"malignant hyperthermia, susceptibility to, 1",Are you currently prescribed medications and/or receiving treatment for reactions to anesthesia (such as hyperthermia)?
RYR1,"malignant hyperthermia, susceptibility to, 1",Are you still seeing a doctor or health care provider for reactions to anesthesia (such as hyperthermia)?
TGFBR2,familial thoracic aortic aneurysm and aortic dissection,About how old were you when you were first told you had aortic aneurysm?
TGFBR2,familial thoracic aortic aneurysm and aortic dissection,"Including yourself, who in your family has had aortic aneurysm? Select all that apply."
TGFBR2,familial thoracic aortic aneurysm and aortic dissection,Are you still seeing a doctor or health care provider for aortic aneurysm?
TGFBR2,familial thoracic aortic aneurysm and aortic dissection,Are you currently prescribed medications and/or receiving treatment for aortic aneurysm?
STK11,Peutz-Jeghers syndrome,Are you currently prescribed medications and/or receiving treatment for colon polyps?
STK11,Peutz-Jeghers syndrome,About how old were you when you were first told you had colon polyps?
STK11,Peutz-Jeghers syndrome,Are you currently prescribed medications and/or receiving treatment for stomach cancer?
STK11,Peutz-Jeghers syndrome,"Including yourself, who in your family has had colon polyps? Select all that apply."
STK11,Peutz-Jeghers syndrome,Are you currently prescribed medications and/or receiving treatment for pancreatic cancer?
STK11,Peutz-Jeghers syndrome,About how old were you when you were first told you had pancreatic cancer?
STK11,Peutz-Jeghers syndrome,"Including yourself, who in your family has had pancreatic cancer? Select all that apply."
STK11,Peutz-Jeghers syndrome,Are you still seeing a doctor or health care provider for pancreatic cancer?
STK11,Peutz-Jeghers syndrome,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
STK11,Peutz-Jeghers syndrome,About how old were you when you were first told you had stomach cancer?
STK11,Peutz-Jeghers syndrome,"Including yourself, who in your family has had stomach cancer? Select all that apply."
STK11,Peutz-Jeghers syndrome,Are you still seeing a doctor or health care provider for colon polyps?
STK11,Peutz-Jeghers syndrome,About how old were you when you were first told you had colon cancer/rectal cancer?
STK11,Peutz-Jeghers syndrome,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
STK11,Peutz-Jeghers syndrome,Are you still seeing a doctor or health care provider for stomach cancer?
STK11,Peutz-Jeghers syndrome,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
PCSK9,"hypercholesterolemia, autosomal dominant, 3","Including yourself, who in your family has had high cholesterol? Select all that apply."
PCSK9,"hypercholesterolemia, autosomal dominant, 3",Are you currently prescribed medications and/or receiving treatment for high cholesterol?
PCSK9,"hypercholesterolemia, autosomal dominant, 3",About how old were you when you were first told you had high cholesterol?
PCSK9,"hypercholesterolemia, autosomal dominant, 3",Are you still seeing a doctor or health care provider for high cholesterol?
MSH2,Lynch syndrome,"Including yourself, who in your family has had endometrial cancer? Select all that apply."
MSH2,Lynch syndrome,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
MSH2,Lynch syndrome,Are you currently prescribed medications and/or receiving treatment for endometrial cancer?
MSH2,Lynch syndrome,Are you still seeing a doctor or health care provider for endometrial cancer?
MSH2,Lynch syndrome,About how old were you when you were first told you had colon cancer/rectal cancer?
MSH2,Lynch syndrome,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
MSH2,Lynch syndrome,About how old were you when you were first told you had endometrial cancer?
MSH2,Lynch syndrome,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
SMAD4,juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,Are you currently prescribed medications and/or receiving treatment for colon polyps?
SMAD4,juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,About how old were you when you were first told you had colon polyps?
SMAD4,juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,"Including yourself, who in your family has had colon polyps? Select all that apply."
SMAD4,juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,Are you currently prescribed medications and/or receiving treatment for colon cancer/rectal cancer?
SMAD4,juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,Are you still seeing a doctor or health care provider for colon polyps?
SMAD4,juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,About how old were you when you were first told you had colon cancer/rectal cancer?
SMAD4,juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,Are you still seeing a doctor or health care provider for colon cancer/rectal cancer?
SMAD4,juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply."
PTEN,PTEN hamartoma tumor syndrome,About how old were you when you were first told you had breast cancer?
PTEN,PTEN hamartoma tumor syndrome,"Including yourself, who in your family has had endometrial cancer? Select all that apply."
PTEN,PTEN hamartoma tumor syndrome,"Including yourself, who in your family has had breast cancer? Select all that apply."
PTEN,PTEN hamartoma tumor syndrome,"Including yourself, who in your family has had thyroid cancer? Select all that apply."
PTEN,PTEN hamartoma tumor syndrome,About how old were you when you were first told you had thyroid cancer?
PTEN,PTEN hamartoma tumor syndrome,Are you currently prescribed medications and/or receiving treatment for endometrial cancer?
PTEN,PTEN hamartoma tumor syndrome,Are you currently prescribed medications and/or receiving treatment for breast cancer?
PTEN,PTEN hamartoma tumor syndrome,Are you currently prescribed medications and/or receiving treatment for thyroid cancer?
PTEN,PTEN hamartoma tumor syndrome,Are you still seeing a doctor or health care provider for breast cancer?
PTEN,PTEN hamartoma tumor syndrome,Are you still seeing a doctor or health care provider for endometrial cancer?
PTEN,PTEN hamartoma tumor syndrome,Are you still seeing a doctor or health care provider for thyroid cancer?
PTEN,PTEN hamartoma tumor syndrome,About how old were you when you were first told you had endometrial cancer?
RET,multiple endocrine neoplasia type 2A,"Including yourself, who in your family has had thyroid cancer? Select all that apply."
RET,multiple endocrine neoplasia type 2A,About how old were you when you were first told you had thyroid cancer?
RET,multiple endocrine neoplasia type 2A,Are you currently prescribed medications and/or receiving treatment for thyroid cancer?
RET,multiple endocrine neoplasia type 2A,Are you still seeing a doctor or health care provider for thyroid cancer?
WT1,Wilms tumor 1,Are you still seeing a doctor or health care provider for kidney cancer?
WT1,Wilms tumor 1,About how old were you when you were first told you had kidney cancer?
WT1,Wilms tumor 1,Are you currently prescribed medications and/or receiving treatment for kidney cancer?
WT1,Wilms tumor 1,"Including yourself, who in your family has had kidney cancer? Select all that apply."
FBN1,familial thoracic aortic aneurysm and aortic dissection,About how old were you when you were first told you had aortic aneurysm?
FBN1,familial thoracic aortic aneurysm and aortic dissection,"Including yourself, who in your family has had aortic aneurysm? Select all that apply."
FBN1,familial thoracic aortic aneurysm and aortic dissection,Are you still seeing a doctor or health care provider for aortic aneurysm?
FBN1,familial thoracic aortic aneurysm and aortic dissection,Are you currently prescribed medications and/or receiving treatment for aortic aneurysm?
